flight_id,airline,source,destination,departure_time,arrival_time,duration,airline_missing_flag,airline_unknown_flag,invalid_timestamp_flag,calculated_duration_minutes,temporal_anomaly_flag,overnight_flag,source_duration_minutes,duration_difference_minutes,duration_mismatch_flag,flight_duration_minutes,route,departure_date
SJ010,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,False,False,False,174.0,False,True,174.0,0.0,False,174.0,CCU → MAA,2026-04-20
AI155,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,False,False,False,108.0,False,True,108.0,0.0,False,108.0,BOM → CCU,2026-04-20
UK094,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,False,False,False,105.0,False,True,105.0,0.0,False,105.0,BOM → CCU,2026-04-20
AI245,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,False,False,False,156.0,False,True,156.0,0.0,False,156.0,BOM → CCU,2026-04-20
AI192,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,False,False,False,299.0,False,True,299.0,0.0,False,299.0,MAA → BOM,2026-04-20
SJ158,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,False,False,False,139.0,False,True,139.0,0.0,False,139.0,DEL → HYD,2026-04-20
6F196,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,False,False,False,103.0,False,True,103.0,0.0,False,103.0,CCU → MAA,2026-04-20
AI080,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,False,False,False,92.0,False,True,92.0,0.0,False,92.0,BOM → HYD,2026-04-20
6F025,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,False,False,False,55.0,False,False,55.0,0.0,False,55.0,BLR → BOM,2026-04-20
6F251,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,False,True,False,41.0,False,False,41.0,0.0,False,41.0,DEL → BLR,2026-04-20
AI137,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,False,False,False,148.0,False,True,148.0,0.0,False,148.0,BOM → DEL,2026-04-20
6F026,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,False,False,False,267.0,False,True,267.0,0.0,False,267.0,BOM → CCU,2026-04-20
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,False,False,False,181.0,False,True,181.0,0.0,False,181.0,DEL → MAA,2026-04-20
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,False,False,False,141.0,False,True,141.0,0.0,False,141.0,BOM → CCU,2026-04-20
AI069,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,False,True,False,226.0,False,True,226.0,0.0,False,226.0,DEL → BOM,2026-04-20
AI058,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,False,False,False,98.0,False,True,98.0,0.0,False,98.0,BOM → CCU,2026-04-20
AI140,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,False,False,False,223.0,False,True,223.0,0.0,False,223.0,BOM → DEL,2026-04-20
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,False,False,False,106.0,False,True,106.0,0.0,False,106.0,BOM → CCU,2026-04-20
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,False,False,False,35.0,False,False,35.0,0.0,False,35.0,MAA → DEL,2026-04-20
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,False,False,False,232.0,False,True,232.0,0.0,False,232.0,CCU → DEL,2026-04-20
